No.,Date,Year,Location,Winner,Winner Score, Loser Score
I,Jan. 15, 1967,Los Angeles Memorial Coliseum,Green Bay,Green Bay 35, Kansas City 10
II,Jan. 14, 1968,Orange Bowl (Miami),Green Bay,Green Bay 33, Oakland 14
III,Jan. 12, 1969,Orange Bowl (Miami),New York Jets,New York Jets 16, Baltimore 7
IV,Jan. 11, 1970,Tulane Stadium (New Orleans),Kansas City,Kansas City 23, Minnesota 7
V,Jan. 17, 1971,Orange Bowl (Miami),Baltimore,Baltimore 16, Dallas 13
VI,Jan. 16, 1972,Tulane Stadium (New Orleans),Dallas,Dallas 24, Miami 3
VII,Jan. 14, 1973,Los Angeles Memorial Coliseum,Miami,Miami 14, Washington 7
VIII,Jan. 13, 1974,Rice Stadium (Houston),Miami,Miami 24, Minnesota 7
IX,Jan. 12, 1975,Tulane Stadium (New Orleans),Pittsburgh,Pittsburgh 16, Minnesota 6
X,Jan. 18, 1976,Orange Bowl (Miami),Pittsburgh,Pittsburgh 21, Dallas 17
XI,Jan. 9, 1977,Rose Bowl (Pasadena),Oakland,Oakland 32, Minnesota 14
XII,Jan. 15, 1978,Superdome (New Orleans),Dallas,Dallas 27, Denver 10
XIII,Jan. 21, 1979,Orange Bowl (Miami),Pittsburgh,Pittsburgh 35, Dallas 31
XIV,Jan. 20, 1980,Rose Bowl (Pasadena),Pittsburgh,Pittsburgh 31, Los Angeles 19
XV,Jan. 25, 1981,Superdome (New Orleans),Oakland,Oakland 27, Philadelphia 10
XVI,Jan. 24, 1982,Silverdome (Pontiac),San Francisco,San Francisco 26, Cincinnati 21
XVII,Jan. 30, 1983,Rose Bowl (Pasadena),Washington,Washington 27, Miami 17
XVIII,Jan. 22, 1984,Tampa Stadium (Florida),Los Angeles,Los Angeles 38, Washington 9
XIX,Jan. 20, 1985,Stanford Stadium (California),San Francisco,San Francisco 38, Miami 16
XX,Jan. 26, 1986,Superdome (New Orleans),Chicago,Chicago 46, New England 10
XXI,Jan. 25, 1987,Rose Bowl (Pasadena),New York Giants,New York Giants 39, Denver 20
XXII,Jan. 31, 1988,Jack Murphy Stadium (San Diego),Washington,Washington 42, Denver 10
XXIII,Jan. 22, 1989,Joe Robbie Stadium (Miami),San Francisco,San Francisco 20, Cincinnati 16
XXIV,Jan. 28, 1990,Superdome (New Orleans),San Francisco,San Francisco 55, Denver 10
XXV,Jan. 27, 1991,Tampa Stadium (Florida),New York Giants,New York Giants 20, Buffalo 19
XXVI,Jan. 26, 1992,Metrodome (Minneapolis),Washington,Washington 37, Buffalo 24
XXVII,Jan. 31, 1993,Rose Bowl (Pasadena),Dallas,Dallas 52, Buffalo 17
XXVIII,Jan. 30, 1994,Georgia Dome (Atlanta),Dallas,Dallas 30, Buffalo 13
XXIX,Jan. 29, 1995,Joe Robbie Stadium (Miami),San Francisco,San Francisco 49, San Diego 26
XXX,Jan. 28, 1996,Sun Devil Stadium (Arizona),Dallas,Dallas 27, Pittsburgh 17
XXXI,Jan. 26, 1997,Superdome (New Orleans),Green Bay,Green Bay 35, New England Patriots 21
XXXII,Jan. 25, 1998,Qualcomm Stadium (San Diego),Denver,Denver 31, Green Bay 24
XXXIII,Jan. 31, 1999,Pro Player Stadium (Miami),Denver,Denver 34, Atlanta 19
XXXIV,Jan. 30, 2000,Georgia Dome (Atlanta),St. Louis,St. Louis 23, Tennessee 16
XXXV,Jan. 28, 2001,Raymond James Stadium (Florida),Baltimore,Baltimore 34, New York Giants 7
XXXVI,Feb. 3, 2002,Superdome (New Orleans),New England,New England Patriots 20, St. Louis 17
XXXVII,Jan. 26, 2003,Qualcomm Stadium (San Diego),Tampa Bay,Tampa Bay 48, Oakland 21
XXXVIII,Feb. 1, 2004,Reliant Stadium (Houston),New England,New England Patriots 32, Carolina 29
XXXIX,Feb. 6, 2005,Alltel Stadium (Jacksonville),New England,New England Patriots 24, Philadelphia Eagles 21
XL,Feb. 5, 2006,Ford Field (Detroit),Pittsburgh,Pittsburgh 21, Seattle 10
XLI,Feb. 4, 2007,Dolphin Stadium (Miami),Indianapolis,Indianapolis 29, Chicago 17
XLII,Feb. 3, 2008,University of Phoenix Stadium (Arizona),New York Giants,New York Giants 17, New England 14
XLIII,Feb. 1, 2009,Raymond James Stadium (Florida),Pittsburgh,Pittsburgh Steelers 27, Arizona Cardinals 23
XLIV,Feb. 7, 2010,Sun Life Stadium (Miami),New Orleans,New Orleans Saints 31, Indianapolis Colts 17
XLV,Feb. 6, 2011,Cowboys Stadium (Texas),Green Bay,Green Bay Packers 31, Pittsburgh Steelers 25
XLVI,Feb. 5, 2012,Lucas Oil Stadium (Indianapolis),New York Giants,New York Giants 21, New England Patriots 17
XLVII,Feb. 3, 2013,Mercedes-Benz Superdome (New Orleans),Baltimore,Baltimore Ravens 34, San Francisco 49ers 31
XLVIII,Feb. 2, 2014,MetLife Stadium (New Jersey),Seattle,Seattle Seahawks 43, Denver Broncos 8
XLIX,Feb. 1, 2015,University of Phoenix Stadium (Arizona),New England,New England Patriots 28, Seattle Seahawks 24
L,Feb. 7, 2016,Levi's Stadium (California),Denver,Denver Broncos 24, Carolina Panthers 10
LI,Feb. 5, 2017,Houstons NRG Stadium (Texas),New England,New England Patriots 34, Atlanta Falcons 28
LII,Feb. 4, 2018,Minneapolis US Bank Stadium (Minneapolis),Philadelphia Eagles,Philadelphia Eagles 41, New England Patriots 33
LIII,Feb. 3, 2019,Mercedes-Benz Stadium (Georgia),New England,New England Patriots 13, Los Angeles Rams 3
